director,image,journalist_count,journalist_score,movie_rate,netizen_count,netizen_rate,opening_date,playing_time,scope,title
아이리스 심,https://movie-phinf.pstatic.net/20220511_91/1652245300882j0g8o_JPEG/movie_image.jpg?type=m99_141_2,4,4.25,12세 관람가,96,4.44,2022-05-11,83,스릴러,엄마
자코 아키후미,https://movie-phinf.pstatic.net/20220405_51/1649144698523czjrT_JPEG/movie_image.jpg?type=m99_141_2,3,5.67,전체 관람가,52,6.75,2022-05-05,59,"애니메이션,가족,코미디",극장판 엉덩이 탐정: 수플레 섬의 비밀
사토 유이치,https://movie-phinf.pstatic.net/20220303_167/1646294462531KRxju_JPEG/movie_image.jpg?type=m99_141_2,2,6.0,15세 관람가,3,7.67,2022-05-05,111,"판타지,스릴러",카사네 : 빼앗는 얼굴
최영민,https://movie-phinf.pstatic.net/20220425_136/1650877572992bhbVe_JPEG/movie_image.jpg?type=m99_141_2,1,5.0,전체 관람가,13,9.31,2022-05-05,99,액션,액션동자
샘 레이미,https://movie-phinf.pstatic.net/20220504_33/165164173504831gKe_JPEG/movie_image.jpg?type=m99_141_2,10,6.8,12세 관람가,12857,7.29,2022-05-04,126,"액션,판타지,모험",닥터 스트레인지: 대혼돈의 멀티버스
피에르 페리펠,https://movie-phinf.pstatic.net/20220405_291/1649125342962iXOg2_JPEG/movie_image.jpg?type=m99_141_2,3,6.67,전체 관람가,394,8.7,2022-05-04,100,"애니메이션,범죄,액션",배드 가이즈
하마구치 류스케,https://movie-phinf.pstatic.net/20220504_174/1651648935473f0HAe_JPEG/movie_image.jpg?type=m99_141_2,7,8.29,15세 관람가,185,8.06,2022-05-04,121,"드라마,멜로/로맨스",우연과 상상
수잔 랭동,https://movie-phinf.pstatic.net/20220412_141/1649755576189kGY7r_JPEG/movie_image.jpg?type=m99_141_2,4,6.75,12세 관람가,16,6.94,2022-05-04,77,드라마,스프링 블라썸
에릭 케이즈스,https://movie-phinf.pstatic.net/20220407_249/1649308516049Jchoa_JPEG/movie_image.jpg?type=m99_141_2,1,5.0,전체 관람가,10,5.5,2022-05-04,77,"애니메이션,판타지,액션,모험",토르: 마법 검의 전설
김수정,https://movie-phinf.pstatic.net/20220405_158/164912069067864cif_JPEG/movie_image.jpg?type=m99_141_2,2,5.5,12세 관람가,17,6.47,2022-04-28,121,"드라마,멜로/로맨스",평평남녀
브렛 설리반,https://movie-phinf.pstatic.net/20220407_21/1649320751864EyPX2_JPEG/movie_image.jpg?type=m99_141_2,1,6.0,12세 관람가,23,8.91,2022-04-28,122,"공연실황,뮤지컬",뮤지컬 킹키부츠 라이브
김지훈,https://movie-phinf.pstatic.net/20220429_150/1651196758429nQ4v4_JPEG/movie_image.jpg?type=m99_141_2,7,6.14,15세 관람가,1100,7.78,2022-04-27,111,드라마,니 부모 얼굴이 보고 싶다
홍원기,https://movie-phinf.pstatic.net/20220405_124/1649123775503hSf5T_JPEG/movie_image.jpg?type=m99_141_2,1,6.0,15세 관람가,524,4.45,2022-04-27,123,공포,서울괴담
레오폴도 아귈라,https://movie-phinf.pstatic.net/20220419_231/1650352138405NlA1p_JPEG/movie_image.jpg?type=m99_141_2,2,5.5,전체 관람가,15,5.73,2022-04-27,85,"애니메이션,판타지,액션,모험",몬스터 아카데미
코마츠 소이치로,https://movie-phinf.pstatic.net/20220413_19/1649841696657JAEt6_JPEG/movie_image.jpg?type=m99_141_2,3,5.67,전체 관람가,8,8.75,2022-04-27,115,다큐멘터리,파리의 피아니스트: 후지코 헤밍의 시간들
"오영산,양조개",https://movie-phinf.pstatic.net/20220330_175/1648627677079BnbiR_JPEG/movie_image.jpg?type=m99_141_2,2,6.0,15세 관람가,39,8.18,2022-04-27,95,"멜로/로맨스,드라마",내가 처음으로 사랑한 소녀
"아론 고뎃,기타 펄라필리",https://movie-phinf.pstatic.net/20220418_99/1650263238947rMzSt_JPEG/movie_image.jpg?type=m99_141_2,2,6.0,15세 관람가,65,6.92,2022-04-27,110,"코미디,범죄",쿠폰의 여왕
에드문드 여,https://movie-phinf.pstatic.net/20220325_276/1648179318385OERw7_JPEG/movie_image.jpg?type=m99_141_2,2,6.5,12세 관람가,25,4.92,2022-04-27,92,"드라마,멜로/로맨스",달빛 그림자
이돈구,https://movie-phinf.pstatic.net/20220408_225/1649385822778ozJo0_JPEG/movie_image.jpg?type=m99_141_2,2,7.0,15세 관람가,323,7.66,2022-04-27,102,"드라마,액션,느와르",봄날
조용선,https://movie-phinf.pstatic.net/20220422_31/1650605733502pD8Hx_JPEG/movie_image.jpg?type=m99_141_2,2,5.0,12세 관람가,691,8.62,2022-04-22,108,드라마,공기살인
홍상수,https://movie-phinf.pstatic.net/20220331_64/1648705552483Riog5_JPEG/movie_image.jpg?type=m99_141_2,3,8.0,12세 관람가,164,7.95,2022-04-21,92,드라마,소설가의 영화
"김종신,정다운",https://movie-phinf.pstatic.net/20220329_126/1648535972891vBPzN_JPEG/movie_image.jpg?type=m99_141_2,4,5.5,전체 관람가,24,8.42,2022-04-21,101,다큐멘터리,"위대한 계약: 파주, 책, 도시"
박 루슬란,https://movie-phinf.pstatic.net/20220321_104/1647826891802EQQtd_JPEG/movie_image.jpg?type=m99_141_2,3,7.0,15세 관람가,24,6.88,2022-04-21,101,"드라마,범죄,스릴러",쓰리: 아직 끝나지 않았다
소토자키 하루오,https://movie-phinf.pstatic.net/20220331_264/1648693399684Fm31b_JPEG/movie_image.jpg?type=m99_141_2,2,6.0,15세 관람가,13402,9.27,2022-04-21,117,애니메이션,극장판 귀멸의 칼날: 무한열차편
강다연,https://movie-phinf.pstatic.net/20220328_103/1648449610850qpIRj_JPEG/movie_image.jpg?type=m99_141_2,2,5.5,12세 관람가,23,7.35,2022-04-21,67,"SF,드라마",헝거
알렉산드리아 도모가로프에,https://movie-phinf.pstatic.net/20220331_124/1648707849346pTWYa_JPEG/movie_image.jpg?type=m99_141_2,3,5.0,전체 관람가,12,7.5,2022-04-21,110,"드라마,가족",팔마
왕가위,https://movie-phinf.pstatic.net/20210208_255/1612760227924x9jop_JPEG/movie_image.jpg?type=m99_141_2,,,15세 관람가,2933,8.9,2022-04-20,102,드라마,중경삼림
정지연,https://movie-phinf.pstatic.net/20220420_103/1650438088876onuXT_JPEG/movie_image.jpg?type=m99_141_2,6,5.5,15세 관람가,851,7.14,2022-04-20,111,스릴러,앵커
"애덤 니,아론 니",https://movie-phinf.pstatic.net/20220422_222/16506049712319Ya0u_JPEG/movie_image.jpg?type=m99_141_2,3,5.67,12세 관람가,600,6.13,2022-04-20,111,"액션,코미디,멜로/로맨스,모험",로스트 시티
후쿠다 유이치,https://movie-phinf.pstatic.net/20220413_93/1649833471929IDtxn_JPEG/movie_image.jpg?type=m99_141_2,1,6.0,15세 관람가,4,6.0,2022-04-15,114,"코미디,액션",오늘부터 우리는!!
"정재익,서태수",https://movie-phinf.pstatic.net/20220321_169/1647825241271MNJ8E_JPEG/movie_image.jpg?type=m99_141_2,3,6.0,12세 관람가,55,8.22,2022-04-14,96,드라마,복지식당
최진영,https://movie-phinf.pstatic.net/20220419_278/1650332677416SVbEE_JPEG/movie_image.jpg?type=m99_141_2,3,5.67,12세 관람가,74,8.22,2022-04-14,100,드라마,태어나길 잘했어
로버트 사보,https://movie-phinf.pstatic.net/20220329_218/1648541811424eaDaO_JPEG/movie_image.jpg?type=m99_141_2,2,4.5,12세 관람가,22,7.05,2022-04-14,148,드라마,그리스도 디 오리진
데이빗 예이츠,https://movie-phinf.pstatic.net/20220324_173/1648105241678ygLXq_JPEG/movie_image.jpg?type=m99_141_2,6,5.67,12세 관람가,2922,6.53,2022-04-13,142,"판타지,모험,가족",신비한 동물들과 덤블도어의 비밀
박경목,https://movie-phinf.pstatic.net/20220401_37/1648780047681NHp8G_JPEG/movie_image.jpg?type=m99_141_2,1,5.0,전체 관람가,120,9.35,2022-04-13,110,드라마,말임씨를 부탁해
박이웅,https://movie-phinf.pstatic.net/20220419_267/1650360458381DYb1X_JPEG/movie_image.jpg?type=m99_141_2,2,5.5,15세 관람가,254,7.69,2022-04-07,112,드라마,불도저에 탄 소녀
제프 파울러,https://movie-phinf.pstatic.net/20220406_115/1649221973410H0er9_JPEG/movie_image.jpg?type=m99_141_2,1,7.0,전체 관람가,636,8.28,2022-04-06,122,"애니메이션,액션,모험,코미디,가족,판타지,SF",수퍼 소닉2
메트오페라,https://ssl.pstatic.net/static/movie/2012/09/dft_img99x141.png,,,전체 관람가,0,0.0,2022-04-05,111,공연실황,신데렐라
타나다 유키,https://movie-phinf.pstatic.net/20220325_44/1648190276891ENCp9_JPEG/movie_image.jpg?type=m99_141_2,1,7.0,청소년 관람불가,22,7.36,2022-04-01,124,"멜로/로맨스,드라마",로망스 돌
연송하,https://movie-phinf.pstatic.net/20220317_298/1647503175209f0j8i_JPEG/movie_image.jpg?type=m99_141_2,,,12세 관람가,30,9.93,2022-03-31,79,드라마,역할들
페드로 알모도바르,https://movie-phinf.pstatic.net/20220322_140/1647926362009U2L0L_JPEG/movie_image.jpg?type=m99_141_2,7,7.43,15세 관람가,151,7.64,2022-03-31,123,"멜로/로맨스,스릴러",패러렐 마더스
알림 칸,https://movie-phinf.pstatic.net/20220401_169/1648777808023G6Oqf_JPEG/movie_image.jpg?type=m99_141_2,5,7.6,15세 관람가,43,7.79,2022-03-30,90,드라마,사랑 후의 두 여자
코다이 카키모토,https://movie-phinf.pstatic.net/20220310_259/1646898390999lmOSO_JPEG/movie_image.jpg?type=m99_141_2,,,전체 관람가,68,8.66,2022-03-24,71,애니메이션,뱅드림! 팝핀' 드림!
호나스 트루에바,https://movie-phinf.pstatic.net/20220303_270/1646293193630X5t6h_JPEG/movie_image.jpg?type=m99_141_2,5,7.4,15세 관람가,29,7.48,2022-03-24,129,드라마,어거스트 버진
케네스 브래너,https://movie-phinf.pstatic.net/20220221_88/1645409319388lY88g_JPEG/movie_image.jpg?type=m99_141_2,10,7.5,12세 관람가,167,8.28,2022-03-23,98,드라마,벨파스트
정재은,https://movie-phinf.pstatic.net/20220304_286/1646377983518TpNS1_JPEG/movie_image.jpg?type=m99_141_2,10,6.6,전체 관람가,77,7.87,2022-03-17,88,다큐멘터리,고양이들의 아파트
파블로 라라인,https://movie-phinf.pstatic.net/20220317_93/1647485368141aGptp_JPEG/movie_image.jpg?type=m99_141_2,8,7.38,12세 관람가,869,7.71,2022-03-16,116,드라마,스펜서
윌리엄 니콜슨,https://movie-phinf.pstatic.net/20220225_106/1645769014037ypyI1_JPEG/movie_image.jpg?type=m99_141_2,7,6.57,12세 관람가,113,9.01,2022-02-24,100,"드라마,멜로/로맨스",우리가 사랑이라고 믿는 것
박성후,https://movie-phinf.pstatic.net/20220217_242/1645084631470w6PTw_JPEG/movie_image.jpg?type=m99_141_2,1,6.0,15세 관람가,1486,9.25,2022-02-17,105,애니메이션,극장판 주술회전 0
가스 제닝스,https://movie-phinf.pstatic.net/20211231_136/1640927037740RqKuo_JPEG/movie_image.jpg?type=m99_141_2,5,6.2,전체 관람가,2660,9.39,2022-01-05,110,애니메이션,씽2게더
하마구치 류스케,https://movie-phinf.pstatic.net/20211220_81/1639963885244tPBWI_JPEG/movie_image.jpg?type=m99_141_2,9,8.44,15세 관람가,891,8.41,2021-12-23,179,드라마,드라이브 마이 카
복진오,https://movie-phinf.pstatic.net/20211109_273/1636433678028RVNtU_JPEG/movie_image.jpg?type=m99_141_2,2,6.0,전체 관람가,39,9.69,2021-11-24,100,다큐멘터리,로그북
스티븐 크보스키,https://movie-phinf.pstatic.net/20211013_44/1634090696216vDR6R_JPEG/movie_image.jpg?type=m99_141_2,4,5.75,12세 관람가,1050,7.46,2021-11-17,137,"뮤지컬,드라마",디어 에반 핸슨
홍상수,https://movie-phinf.pstatic.net/20210908_98/1631077678630Mtkxn_JPEG/movie_image.jpg?type=m99_141_2,2,7.0,15세 관람가,114,7.67,2021-10-21,85,드라마,당신얼굴 앞에서
이장훈,https://movie-phinf.pstatic.net/20210917_60/16318534287592XLg8_JPEG/movie_image.jpg?type=m99_141_2,7,6.0,12세 관람가,6135,9.25,2021-09-15,117,드라마,기적
신카이 마코토,https://movie-phinf.pstatic.net/20210824_271/1629767608033QS1Ls_JPEG/movie_image.jpg?type=m99_141_2,7,6.57,15세 관람가,6277,7.96,2021-09-09,112,애니메이션,날씨의 아이
션 헤이더,https://movie-phinf.pstatic.net/20220408_230/1649404582189RuAGA_JPEG/movie_image.jpg?type=m99_141_2,3,6.33,12세 관람가,932,9.14,2021-08-31,111,드라마,코다
류승완,https://movie-phinf.pstatic.net/20210820_122/1629448997924YXUCv_JPEG/movie_image.jpg?type=m99_141_2,11,7.27,15세 관람가,16871,8.33,2021-07-28,121,"액션,드라마",모가디슈
권우정,https://movie-phinf.pstatic.net/20210506_259/1620280381079wzSrW_JPEG/movie_image.jpg?type=m99_141_2,4,6.25,12세 관람가,21,8.19,2021-06-03,79,다큐멘터리,까치발
"바르보라 차르포바,비트 클루삭",https://movie-phinf.pstatic.net/20210520_89/1621492263055WWAzV_JPEG/movie_image.jpg?type=m99_141_2,5,6.0,청소년 관람불가,47,8.85,2021-06-03,104,다큐멘터리,#위왓치유
이정국,https://movie-phinf.pstatic.net/20210423_52/1619163659566SWe1o_JPEG/movie_image.jpg?type=m99_141_2,3,5.0,12세 관람가,388,6.43,2021-05-12,90,"드라마,스릴러",아들의 이름으로
임흥순,https://movie-phinf.pstatic.net/20210412_56/1618208167180sCUVq_JPEG/movie_image.jpg?type=m99_141_2,2,7.0,12세 관람가,54,7.41,2021-04-28,110,다큐멘터리,"좋은 빛, 좋은 공기"
정이삭,https://movie-phinf.pstatic.net/20210429_50/1619658051996HIPXs_JPEG/movie_image.jpg?type=m99_141_2,12,7.58,12세 관람가,5487,7.57,2021-03-03,115,드라마,미나리
이승원,https://movie-phinf.pstatic.net/20210114_78/1610588407942CoL2I_JPEG/movie_image.jpg?type=m99_141_2,5,6.8,15세 관람가,1887,8.67,2021-01-27,115,드라마,세자매
데이미언 셔젤,https://movie-phinf.pstatic.net/20201229_146/1609226288425JgdsP_JPEG/movie_image.jpg?type=m99_141_2,14,8.34,12세 관람가,24852,8.62,2020-12-31,127,"드라마,뮤지컬,멜로/로맨스",라라랜드
존 카니,https://movie-phinf.pstatic.net/20201223_260/1608701516437kwOuA_JPEG/movie_image.jpg?type=m99_141_2,5,5.6,15세 관람가,18164,9.04,2020-12-31,104,"드라마,멜로/로맨스,코미디",비긴 어게인
왕가위,https://movie-phinf.pstatic.net/20201028_19/1603867994616GALu9_JPEG/movie_image.jpg?type=m99_141_2,,,15세 관람가,2158,8.81,2020-12-24,99,"드라마,멜로/로맨스",화양연화
김초희,https://movie-phinf.pstatic.net/20201103_58/1604370513537sEbMD_JPEG/movie_image.jpg?type=m99_141_2,10,7.0,전체 관람가,1155,8.78,2020-11-26,96,"드라마,멜로/로맨스,판타지",찬실이는 복도 많지
이조훈,https://movie-phinf.pstatic.net/20200703_14/1593758061560mLsMg_JPEG/movie_image.jpg?type=m99_141_2,4,6.25,12세 관람가,83,4.4,2020-07-16,82,다큐멘터리,광주비디오: 사라진 4시간
"마크 브램블,로스 맥기븐",https://movie-phinf.pstatic.net/20200207_176/15810629125632wKOD_JPEG/movie_image.jpg?type=m99_141_2,,,전체 관람가,5,8.2,2020-07-08,135,"뮤지컬,공연실황",뮤지컬 브로드웨이 42번가
"제임스 파우웰,장 피에르",https://movie-phinf.pstatic.net/20200504_226/1588572666629jE4I1_JPEG/movie_image.jpg?type=m99_141_2,,,12세 관람가,91,9.41,2020-05-13,166,공연실황,레미제라블: 뮤지컬 콘서트
신카이 마코토,https://movie-phinf.pstatic.net/20210506_116/1620269253724yUAgH_JPEG/movie_image.jpg?type=m99_141_2,6,6.97,12세 관람가,2513,8.17,2020-04-22,46,애니메이션,언어의 정원
에릭 로메르,https://movie-phinf.pstatic.net/20220420_48/1650422631213w8Sy0_JPEG/movie_image.jpg?type=m99_141_2,,,12세 관람가,146,8.52,2019-07-04,98,"멜로/로맨스,드라마",녹색 광선
윌리엄 와일러,https://movie-phinf.pstatic.net/20190319_197/1552961388729ud2LG_JPEG/movie_image.jpg?type=m99_141_2,1,8.75,전체 관람가,1266,9.24,2019-03-28,222,"드라마,액션,모험,멜로/로맨스",벤허
하마구치 류스케,https://movie-phinf.pstatic.net/20190220_147/1550628802592YRPtN_JPEG/movie_image.jpg?type=m99_141_2,6,5.67,12세 관람가,628,7.3,2019-03-14,120,드라마,아사코
페드로 알모도바르,https://movie-phinf.pstatic.net/20181031_113/1540970564133zDmXy_JPEG/movie_image.jpg?type=m99_141_2,,,청소년 관람불가,47,8.38,2018-11-05,108,드라마,라이브 플래쉬
페드로 알모도바르,https://movie-phinf.pstatic.net/20181031_270/1540965417921s0IkS_JPEG/movie_image.jpg?type=m99_141_2,7,7.25,청소년 관람불가,155,7.5,2018-11-05,127,"드라마,멜로/로맨스,스릴러",브로큰 임브레이스
페드로 알모도바르,https://movie-phinf.pstatic.net/20181031_71/1540973955560qPueX_JPEG/movie_image.jpg?type=m99_141_2,3,7.67,15세 관람가,421,8.66,2018-11-05,120,"드라마,판타지",귀향
페드로 알모도바르,https://movie-phinf.pstatic.net/20181031_143/15409649954395JT9Q_JPEG/movie_image.jpg?type=m99_141_2,,,청소년 관람불가,451,8.45,2018-11-05,105,"멜로/로맨스,범죄,드라마,스릴러",나쁜 교육
페드로 알모도바르,https://movie-phinf.pstatic.net/20181031_268/1540973287249dcird_JPEG/movie_image.jpg?type=m99_141_2,,,15세 관람가,3,6.0,2018-11-05,101,드라마,비밀의 꽃
페드로 알모도바르,https://movie-phinf.pstatic.net/20181031_36/15409737316058oTTk_JPEG/movie_image.jpg?type=m99_141_2,,,15세 관람가,30,8.4,2018-11-05,108,드라마,하이 힐
페드로 알모도바르,https://movie-phinf.pstatic.net/20181031_253/1540953256580Stomt_JPEG/movie_image.jpg?type=m99_141_2,,,15세 관람가,15,8.13,2018-11-05,84,"코미디,드라마",신경쇠약 직전의 여자
마이클 메이슨,https://movie-phinf.pstatic.net/20180612_194/1528767277354DKz2r_JPEG/movie_image.jpg?type=m99_141_2,1,5.0,12세 관람가,419,8.32,2018-07-19,105,드라마,신은 죽지 않았다 3: 어둠 속의 빛
김보람,https://movie-phinf.pstatic.net/20180116_12/1516070687936QLFz9_JPEG/movie_image.jpg?type=m99_141_2,8,6.5,12세 관람가,331,9.12,2018-01-18,84,다큐멘터리,피의 연대기
변성현,https://movie-phinf.pstatic.net/20170517_137/1494988360843qAvzP_JPEG/movie_image.jpg?type=m99_141_2,6,5.83,청소년 관람불가,13180,6.5,2017-05-17,120,"범죄,액션,드라마",불한당: 나쁜 놈들의 세상
왕가위,https://movie-phinf.pstatic.net/20170315_53/148955223217831bi6_JPEG/movie_image.jpg?type=m99_141_2,2,8.0,15세 관람가,873,8.47,2017-03-30,100,"드라마,범죄,멜로/로맨스",아비정전
고레에다 히로카즈,https://movie-phinf.pstatic.net/20151109_152/1447031077714vyf9Q_JPEG/movie_image.jpg?type=m99_141_2,11,7.02,12세 관람가,2373,8.75,2015-12-17,128,"드라마,가족",바닷마을 다이어리
오즈 야스지로,https://movie-phinf.pstatic.net/20140807_285/1407396855353S63rj_JPEG/movie_image.jpg?type=m99_141_2,2,9.63,전체 관람가,215,8.79,2014-08-16,136,드라마,동경 이야기
웨스 앤더슨,https://movie-phinf.pstatic.net/20121226_24/1356507294873N5TDv_JPEG/movie_image.jpg?type=m99_141_2,8,7.66,15세 관람가,673,8.15,2013-01-31,94,"드라마,코미디,모험",문라이즈 킹덤
하마구치 류스케,https://movie-phinf.pstatic.net/20111223_228/13246339346064ItNC_JPEG/movie_image.jpg?type=m99_141_2,1,4.0,청소년 관람불가,2,3.0,2011-03-17,121,드라마,심도
오즈 야스지로,https://movie-phinf.pstatic.net/20201127_146/1606441017408rhJxS_JPEG/movie_image.jpg?type=m99_141_2,,,,24,7.67,2004-05-28,115,드라마,오차즈케의 맛
오즈 야스지로,https://movie-phinf.pstatic.net/20111223_122/1324637849375kwUd5_JPEG/movie_image.jpg?type=m99_141_2,,,,53,8.26,2004-05-28,108,드라마,만춘
에릭 로메르,https://movie-phinf.pstatic.net/20220420_38/1650422766596Xyhxu_JPEG/movie_image.jpg?type=m99_141_2,2,6.0,12세 관람가,45,8.07,1998-06-13,114,"코미디,멜로/로맨스",여름 이야기
조지 스티븐스,https://movie-phinf.pstatic.net/20180228_118/1519784133131EcfGn_JPEG/movie_image.jpg?type=m99_141_2,,,12세 관람가,33,8.52,1974-02-28,201,드라마,자이언트
이병일,https://movie-phinf.pstatic.net/20141118_204/14163042262481iOqh_JPEG/movie_image.jpg?type=m99_141_2,,,,7,6.43,1958-10-14,100,코미디,자유 결혼
프레드 진네만,https://movie-phinf.pstatic.net/20180228_189/1519784389038ntx5O_JPEG/movie_image.jpg?type=m99_141_2,,,전체 관람가,16,8.88,1957-04-27,118,"전쟁,드라마,멜로/로맨스",지상에서 영원으로
